Quantity,Card Number,Name,Value per Card,Extended Value
2,25,Mark Clayton,1.52,3.04
1,5,Gary Clark,1.25,1.25
2,11,Ernest Givins,0.93,1.86
2,16,James Lofton,0.88,1.76
2,3,J.T. Smith,1.47,2.94
2,13,Rueben Mayes,1.38,2.76
2,20,Webster Slaughter,1.31,2.62
1,3,J.T. Smith,1.47,1.47
2,27,Marcus Allen,1.59,3.18
2,10,Mike Rozier,1.37,2.74
2,2,Eric Dickerson,1.13,2.26
102,183,Tim Brown,1.48,150.96
18,89,Michael Irvin,1.79,32.22
1,548,Carnell Lake,1.57,1.57
1,560,Darrin Nelson,1.22,1.22
2,66,Anthony Munoz,1.33,2.66
7,58,Boomer Esiason,1,7
81,498,Derrick Thomas,1.69,136.89
46,220,Dan Marino,1.54,70.84
22,100,John Elway,1.5,33
23,354,Rod Woodson,1.5,34.5
1,545,Willie Anderson,1.49,1.49
1,550,Sterling Sharpe,1.99,1.99
1,558,Chip Banks,1.39,1.39
85,22,Jim Kelly,1.31,111.35
68,381,Joe Montana,1.5,102
1,556,Paul Palmer,1.43,1.43
1,552,Clarence Verdin,1.46,1.46
56,490,Troy Aikman,3.07,171.92
1,541,Art Shell,1.7,1.7
1,542,Lemuel Stinson,1.42,1.42
1,546,Dave Meggett,1.61,1.61
53,486,Deion Sanders,2.07,109.71
1,553,Mervyn Fernandez,1.49,1.49
1,559,Steve Pelluer,1.02,1.02
1,555,Gary Hogeboom,1.54,1.54
1,547,Lewis Tillman,1.24,1.24
1,561,Herschel Walker,1.49,1.49
115,383,Jerry Rice,1.27,146.05
1,554,Ottis Anderson,1.47,1.47
1,557,Jesse Solomon,1.37,1.37
9,32,Thurman Thomas,1.59,14.31
1,551,Ezra Johnson,0.99,0.99
1,544,David Treadwell,1.3,1.3
6,66,Anthony Munoz,1.33,7.98
46,388,Steve Young,1,46
1,549,Marion Butts,1.42,1.42
2,335,Jay Novacek,0.8,1.6
2,561,Herschel Walker,1.49,2.98
1,543,Tyrone Braxton,1.2,1.2
34,494,Barry Sanders,28.89,982.26
21,1,Pete Rozelle,2.99,62.79
1,101,Bart Starr,1.68,1.68
1,17,Jim Thorpe,1.95,1.95
1,134,Roger Staubach,1.92,1.92
1,85,Dick Lane,1.94,1.94
1,44,Vince Lombardi,1.9,1.9
1,129,Joe Namath,2.37,2.37
1,22,George Trafton,1.09,1.09
1,24,John Driscoll,1.96,1.96
1,32,Arnie Herber,1.35,1.35
1,47,Jim Brown,1.85,1.85
1,10,Don Hutson,1.54,1.54
1,102,Gale Sayers,1.99,1.99
1,26,Otto Graham,1.42,1.42
1,69,Paul Brown,1.52,1.52
1,127,O.J. Simpson,3.27,3.27
1,138,Fran Tarkenton,2.41,2.41
1,104,Johnny Unitas,1.98,1.98
1,60,Lawrence Taylor,2.95,2.95
4,72,Jerry Rice,0.93,3.72
1,24,Kent Hull [stars 'n stripes],0,0
1,24,Super Bowl XXIV,1.5,1.5
1,114,Sterling Sharpe,1.35,1.35
1,79,Michael Irvin,1.29,1.29
1,8,Super Bowl VIII,1.85,1.85
1,10,Thurman Thomas,0.99,0.99
1,343,Chris Hinton [No Traded Banner on Front],2.38,2.38
1,255,Earl Ferrell,1.49,1.49
1,11,Super Bowl XI,1.29,1.29
1,669,Jeff George,1.64,1.64
1,1,Payne Stewart [Special],2,2
1,14,Super Bowl XIV,1.37,1.37
2,1,Barry Sanders: Rookie of the Year,1.53,3.06
1,134,Andre Rison [No Mention of Trade on Card Front],1.59,1.59
1,23,Buck Buchanan,1.49,1.49
1,1,Super Bowl I,1.3,1.3
1,231,Lawrence Taylor,1.6,1.6
1,12,Dalton Hilliard,1.13,1.13
1,197,Herschel Walker,0.87,0.87
1,287,Roger Craig,1.11,1.11
1,20,Super Bowl XX,1.42,1.42
1,28,"Barry Sanders, Christian Okoye",1.08,1.08
